student_id,gender,class,study_hours_per_week,attendance_percent,math_score,science_score,english_score,parent_education,total_score,average_score,grade,performance_category,result,at_risk
S1072,Male,10A,7.8,86.8,70.9,67.5,71.4,Masters,209.8,69.93,C,Average,Pass,False
S1073,Female,10B,5.2,85.4,53.9,55.4,45.9,Bachelors,155.2,51.73,D,Needs Improvement,Pass,False
S1074,Male,10C,17.9,87.7,78.4,79.2,73.8,High School,231.40000000000003,77.13,B,Average,Pass,False
S1075,Female,10B,10.1,95.9,55.5,58.3,50.2,Bachelors,164.0,54.67,D,Needs Improvement,Pass,False
S1076,Female,10A,7.2,82.4,52.4,52.2,46.1,High School,150.7,50.23,D,Needs Improvement,Pass,False
S1077,Female,10B,10.9,88.5,59.7,48.4,49.5,Bachelors,157.6,52.53,D,Needs Improvement,Pass,False
S1078,Male,10B,9.6,78.9,54.2,56.1,58.3,High School,168.60000000000002,56.2,D,Needs Improvement,Pass,False
S1079,Female,10B,9.1,97.3,66.9,71.7,64.8,High School,203.40000000000003,67.8,C,Average,Pass,False
S1080,Male,10B,12.5,71.9,72.2,68.8,75.5,High School,216.5,72.17,C,Average,Pass,False
S1081,Female,10A,13.0,100.0,74.7,75.9,72.2,Bachelors,222.8,74.27,C,Average,Pass,False
S1082,Male,10D,7.9,79.5,40.8,46.1,31.1,High School,118.0,39.33,F,Needs Improvement,Fail,False
S1083,Female,10B,7.7,62.8,54.7,46.7,49.5,Bachelors,150.9,50.3,D,Needs Improvement,Pass,False
S1084,Male,10B,8.9,81.5,68.0,70.9,52.9,Bachelors,191.8,63.93,C,Average,Pass,False
S1085,Male,10C,0.8,71.8,8.2,40.0,25.4,Bachelors,73.6,24.53,F,Needs Improvement,Fail,False
S1086,Female,10B,3.9,90.1,48.7,40.0,36.5,Bachelors,125.2,41.73,D,Needs Improvement,Pass,False
S1087,Male,10C,15.5,72.2,68.9,59.5,79.7,Masters,208.10000000000002,69.37,C,Average,Pass,False
S1088,Female,10D,16.6,74.6,64.9,66.9,70.5,High School,202.3,67.43,C,Average,Pass,False
S1089,Female,10A,9.0,57.3,48.3,54.9,51.2,Bachelors,154.39999999999998,51.47,D,Needs Improvement,Pass,False
S1090,Female,10A,12.3,74.6,66.4,58.2,67.2,High School,191.8,63.93,C,Average,Pass,False
S1091,Female,10D,11.2,50.9,57.4,60.4,46.6,High School,164.4,54.8,D,Needs Improvement,Pass,False
S1092,Female,10A,20.0,61.0,62.7,59.3,70.6,Bachelors,192.6,64.2,C,Average,Pass,False
S1093,Female,10D,14.5,89.1,70.8,72.5,69.6,Bachelors,212.9,70.97,C,Average,Pass,False
S1094,Female,10D,9.5,89.4,57.6,61.7,66.9,Masters,186.20000000000002,62.07,C,Average,Pass,False
S1095,Female,10D,6.2,85.1,38.3,56.9,54.2,Bachelors,149.39999999999998,49.8,D,Needs Improvement,Pass,False
S1096,Female,10A,3.6,68.4,46.4,62.1,54.6,PhD,163.1,54.37,D,Needs Improvement,Pass,False
S1097,Female,10C,10.8,79.4,60.7,51.0,57.3,High School,169.0,56.33,D,Needs Improvement,Pass,False
S1098,Female,10D,7.0,80.0,57.0,48.0,41.4,High School,146.4,48.8,D,Needs Improvement,Pass,False
S1099,Male,10B,4.3,66.1,47.7,49.8,38.9,High School,136.4,45.47,D,Needs Improvement,Pass,True
S1100,Male,10A,7.4,98.0,50.7,44.0,45.6,High School,140.3,46.77,D,Needs Improvement,Pass,False
S1101,Female,10D,5.7,90.5,39.5,36.1,36.9,Bachelors,112.5,37.5,F,Needs Improvement,Fail,False
S1102,Female,10D,16.7,77.3,56.6,60.6,53.7,Bachelors,170.9,56.97,D,Needs Improvement,Pass,False
S1103,Female,10B,13.5,80.3,57.6,64.5,90.4,High School,212.5,70.83,C,Average,Pass,False
S1104,Female,10C,10.0,82.5,58.4,53.5,62.7,PhD,174.60000000000002,58.2,D,Needs Improvement,Pass,False
S1105,Female,10C,15.9,55.5,86.9,78.3,86.0,Masters,251.2,83.73,B,Average,Pass,False
S1106,Female,10C,10.3,77.0,59.2,49.1,52.5,High School,160.8,53.6,D,Needs Improvement,Pass,False
S1107,Female,10D,6.6,71.8,50.9,55.4,45.4,High School,151.7,50.57,D,Needs Improvement,Pass,False
S1108,Female,10D,16.1,68.0,81.9,72.2,74.1,High School,228.20000000000002,76.07,B,Average,Pass,False
S1109,Male,10D,12.2,76.6,83.6,82.1,77.7,High School,243.39999999999998,81.13,B,Average,Pass,False
S1110,Female,10A,5.9,100.0,71.1,69.6,72.8,High School,213.5,71.17,C,Average,Pass,False
S1111,Male,10B,9.2,87.7,62.5,66.1,60.3,Bachelors,188.89999999999998,62.97,C,Average,Pass,False
S1112,Female,10D,6.5,73.1,52.7,58.4,55.7,High School,166.8,55.6,D,Needs Improvement,Pass,False
S1113,Female,10B,4.5,86.9,46.3,52.8,49.8,Bachelors,148.89999999999998,49.63,D,Needs Improvement,Pass,False
S1114,Male,10B,13.7,96.8,75.1,82.6,67.8,PhD,225.5,75.17,B,Average,Pass,False
S1115,Female,10C,17.6,91.1,75.2,81.8,70.9,Bachelors,227.9,75.97,B,Average,Pass,False
S1116,Male,10A,4.4,80.7,32.0,34.7,34.3,PhD,101.0,33.67,F,Needs Improvement,Fail,False
S1117,Female,10D,12.3,72.2,57.8,55.9,70.9,High School,184.6,61.53,C,Average,Pass,False
S1118,Female,10C,7.4,88.4,41.1,46.0,55.8,Bachelors,142.89999999999998,47.63,D,Needs Improvement,Pass,False
S1119,Male,10C,8.1,84.7,51.8,45.6,42.5,Bachelors,139.9,46.63,D,Needs Improvement,Pass,False
S1120,Female,10D,7.6,90.7,60.9,78.5,63.8,High School,203.2,67.73,C,Average,Pass,False
S1121,Male,10B,6.5,87.6,54.0,66.4,49.6,High School,170.0,56.67,D,Needs Improvement,Pass,False
S1122,Female,10C,10.2,92.6,67.2,55.1,69.7,Bachelors,192.0,64.0,C,Average,Pass,False
S1123,Male,10B,6.7,73.6,63.6,50.1,55.2,Bachelors,168.9,56.3,D,Needs Improvement,Pass,False
S1124,Male,10A,11.1,95.8,47.3,59.8,56.4,Bachelors,163.5,54.5,D,Needs Improvement,Pass,False
S1125,Female,10B,9.8,82.4,51.3,59.2,63.9,Bachelors,174.4,58.13,D,Needs Improvement,Pass,False
S1126,Female,10A,9.0,100.0,52.2,60.1,49.0,Bachelors,161.3,53.77,D,Needs Improvement,Pass,False
S1127,Male,10B,6.4,71.7,24.1,28.2,21.4,High School,73.69999999999999,24.57,F,Needs Improvement,Fail,False
S1128,Female,10C,7.7,100.0,63.6,57.8,55.1,High School,176.5,58.83,D,Needs Improvement,Pass,False
S1129,Female,10C,13.0,82.4,63.3,66.5,70.7,High School,200.5,66.83,C,Average,Pass,False
S1130,Female,10A,12.0,72.2,69.4,71.5,61.9,High School,202.8,67.6,C,Average,Pass,False
S1131,Male,10D,6.1,74.2,38.0,36.7,33.0,PhD,107.7,35.9,F,Needs Improvement,Fail,False
S1132,Male,10A,10.4,76.2,52.1,46.9,45.6,Bachelors,144.6,48.2,D,Needs Improvement,Pass,False
S1133,Male,10A,13.0,85.1,73.9,76.3,84.7,Masters,234.89999999999998,78.3,B,Average,Pass,False
S1134,Male,10B,3.3,86.3,52.9,53.6,59.7,High School,166.2,55.4,D,Needs Improvement,Pass,False
S1135,Male,10B,12.2,73.1,66.1,82.3,61.6,Bachelors,209.99999999999997,70.0,C,Average,Pass,False
S1136,Male,10A,7.3,79.7,56.5,50.5,45.8,High School,152.8,50.93,D,Needs Improvement,Pass,False
S1137,Male,10C,12.3,100.0,55.2,61.2,70.0,High School,186.4,62.13,C,Average,Pass,False
S1138,Male,10B,6.9,100.0,36.2,59.8,43.1,High School,139.1,46.37,D,Needs Improvement,Pass,False
S1139,Male,10D,2.8,85.2,50.9,52.7,47.5,Masters,151.1,50.37,D,Needs Improvement,Pass,False
S1140,Female,10B,3.5,80.5,66.8,58.5,57.2,Bachelors,182.5,60.83,C,Average,Pass,False
S1141,Male,10B,10.2,81.4,77.8,74.0,73.1,Bachelors,224.9,74.97,C,Average,Pass,False
S1142,Female,10D,11.0,87.4,59.8,70.9,55.5,Bachelors,186.2,62.07,C,Average,Pass,False
S1143,Female,10A,6.4,67.7,31.2,27.3,34.3,PhD,92.8,30.93,F,Needs Improvement,Fail,True
S1144,Female,10D,12.6,76.9,68.2,66.2,48.5,High School,182.9,60.97,C,Average,Pass,False
S1145,Male,10A,3.4,60.0,12.5,12.8,14.4,High School,39.7,13.23,F,Needs Improvement,Fail,True
S1146,Male,10A,9.7,84.8,63.6,64.1,63.5,High School,191.2,63.73,C,Average,Pass,False
S1147,Male,10A,5.2,87.8,50.0,41.4,41.0,Masters,132.4,44.13,D,Needs Improvement,Pass,False
S1148,Male,10D,7.4,74.2,50.8,41.9,44.8,PhD,137.5,45.83,D,Needs Improvement,Pass,False
S1149,Female,10A,10.2,98.9,68.9,50.5,55.0,High School,174.4,58.13,D,Needs Improvement,Pass,False
S1150,Male,10C,6.6,65.3,49.1,52.6,44.7,Masters,146.4,48.8,D,Needs Improvement,Pass,True
S1151,Male,10D,8.5,62.4,38.9,47.5,43.0,Masters,129.4,43.13,D,Needs Improvement,Pass,True
S1152,Male,10C,14.0,82.7,58.6,51.2,52.9,High School,162.70000000000002,54.23,D,Needs Improvement,Pass,False
S1153,Male,10A,7.7,92.6,22.7,33.6,32.1,Bachelors,88.4,29.47,F,Needs Improvement,Fail,False
S1154,Male,10B,13.3,100.0,68.9,68.8,76.7,Bachelors,214.39999999999998,71.47,C,Average,Pass,False
S1155,Female,10A,5.5,74.5,55.3,50.2,58.7,PhD,164.2,54.73,D,Needs Improvement,Pass,False
S1156,Male,10C,12.1,92.9,77.6,79.4,77.2,High School,234.2,78.07,B,Average,Pass,False
S1157,Female,10C,15.8,79.5,68.6,65.8,69.0,Masters,203.39999999999998,67.8,C,Average,Pass,False
S1158,Male,10D,0.1,77.9,21.7,41.2,30.9,High School,93.80000000000001,31.27,F,Needs Improvement,Fail,False
S1159,Female,10B,6.8,90.6,63.7,59.6,44.7,Masters,168.0,56.0,D,Needs Improvement,Pass,False
S1160,Male,10D,12.3,87.8,57.9,49.6,64.8,Bachelors,172.3,57.43,D,Needs Improvement,Pass,False
S1161,Male,10C,9.2,61.1,49.8,46.5,47.8,Bachelors,144.1,48.03,D,Needs Improvement,Pass,True
S1162,Female,10A,11.5,97.7,72.0,80.1,76.5,Masters,228.6,76.2,B,Average,Pass,False
S1163,Female,10B,7.6,96.6,68.4,80.0,74.6,Masters,223.0,74.33,C,Average,Pass,False
S1164,Female,10A,10.3,72.5,58.9,44.4,45.7,Masters,149.0,49.67,D,Needs Improvement,Pass,False
S1165,Male,10A,9.4,84.7,50.5,44.5,51.5,High School,146.5,48.83,D,Needs Improvement,Pass,False
S1166,Female,10B,14.7,85.9,60.1,75.3,62.4,Bachelors,197.8,65.93,C,Average,Pass,False
S1167,Male,10D,11.0,83.1,52.3,56.5,49.4,High School,158.2,52.73,D,Needs Improvement,Pass,False
S1168,Male,10A,11.4,73.4,48.0,50.8,66.5,Bachelors,165.3,55.1,D,Needs Improvement,Pass,False
S1169,Female,10C,8.4,71.9,47.8,55.9,47.6,Bachelors,151.29999999999998,50.43,D,Needs Improvement,Pass,False
S1170,Female,10A,8.0,79.7,56.3,43.4,55.9,Bachelors,155.6,51.87,D,Needs Improvement,Pass,False
S1171,Male,10B,8.3,94.1,57.2,52.0,53.2,Bachelors,162.4,54.13,D,Needs Improvement,Pass,False
S1172,Male,10B,11.6,86.5,77.1,77.5,68.3,PhD,222.89999999999998,74.3,C,Average,Pass,False
S1173,Female,10B,8.3,75.6,50.0,54.4,46.4,High School,150.8,50.27,D,Needs Improvement,Pass,False
S1174,Female,10D,11.2,89.3,68.7,57.5,65.5,Bachelors,191.7,63.9,C,Average,Pass,False
S1175,Female,10A,18.3,45.8,57.3,58.6,56.1,Bachelors,172.0,57.33,D,Needs Improvement,Pass,False
S1176,Male,10D,13.5,93.8,54.2,46.3,51.3,High School,151.8,50.6,D,Needs Improvement,Pass,False
S1177,Male,10D,8.7,59.1,51.8,54.0,49.3,High School,155.1,51.7,D,Needs Improvement,Pass,False
S1178,Male,10B,14.8,75.7,74.8,67.8,64.1,PhD,206.7,68.9,C,Average,Pass,False
S1179,Male,10B,8.4,66.6,41.9,42.9,47.3,Masters,132.1,44.03,D,Needs Improvement,Pass,True
S1180,Male,10D,1.8,64.5,16.2,24.9,41.4,Masters,82.5,27.5,F,Needs Improvement,Fail,True
S1181,Male,10A,6.0,93.9,55.9,60.6,56.8,PhD,173.3,57.77,D,Needs Improvement,Pass,False
S1182,Female,10C,2.5,74.4,32.0,28.7,24.9,High School,85.6,28.53,F,Needs Improvement,Fail,False
S1183,Male,10D,8.6,84.2,56.5,49.5,55.1,Bachelors,161.1,53.7,D,Needs Improvement,Pass,False
S1184,Male,10A,10.1,79.4,69.2,63.6,55.7,Bachelors,188.5,62.83,C,Average,Pass,False
S1185,Male,10B,16.7,85.7,73.4,57.3,76.2,Bachelors,206.89999999999998,68.97,C,Average,Pass,False
S1186,Female,10B,11.3,80.9,63.5,61.2,64.2,Bachelors,188.9,62.97,C,Average,Pass,False
S1187,Male,10A,9.1,64.6,38.9,37.4,47.5,Bachelors,123.8,41.27,D,Needs Improvement,Pass,True
S1188,Male,10C,13.3,92.0,70.1,89.5,69.4,Bachelors,229.0,76.33,B,Average,Pass,False
S1189,Female,10B,1.2,74.1,30.5,25.7,43.3,Bachelors,99.5,33.17,F,Needs Improvement,Fail,False
S1190,Male,10B,10.9,61.3,42.5,47.6,43.5,High School,133.6,44.53,D,Needs Improvement,Pass,True
S1191,Male,10B,13.1,74.9,79.3,78.0,75.3,Bachelors,232.60000000000002,77.53,B,Average,Pass,False
S1192,Male,10A,4.1,98.0,42.7,45.3,45.0,Bachelors,133.0,44.33,D,Needs Improvement,Pass,False
S1193,Male,10D,14.6,90.2,63.4,76.6,64.6,Bachelors,204.6,68.2,C,Average,Pass,False
S1194,Male,10B,11.4,75.8,60.4,62.7,67.6,High School,190.7,63.57,C,Average,Pass,False
S1195,Female,10D,8.3,75.8,63.9,62.6,61.1,Masters,187.6,62.53,C,Average,Pass,False
S1196,Female,10C,12.5,76.1,44.9,53.2,41.8,High School,139.89999999999998,46.63,D,Needs Improvement,Pass,False
S1197,Female,10B,19.1,100.0,74.5,95.6,81.5,Bachelors,251.6,83.87,B,Average,Pass,False
S1198,Male,10B,10.7,84.6,60.7,70.6,62.9,Masters,194.20000000000002,64.73,C,Average,Pass,False
S1199,Male,10C,11.0,85.2,59.8,63.4,69.0,Bachelors,192.2,64.07,C,Average,Pass,False
S1200,Male,10B,8.2,92.4,55.8,51.0,58.5,High School,165.3,55.1,D,Needs Improvement,Pass,False
S1201,Female,10D,6.6,82.9,45.8,45.5,54.0,Bachelors,145.3,48.43,D,Needs Improvement,Pass,False
S1202,Male,10A,13.3,76.9,54.7,52.6,45.7,Bachelors,153.0,51.0,D,Needs Improvement,Pass,False
S1203,Male,10D,6.6,77.6,56.9,47.8,49.1,Masters,153.79999999999998,51.27,D,Needs Improvement,Pass,False
S1204,Female,10A,10.3,79.1,50.8,56.2,37.9,Masters,144.9,48.3,D,Needs Improvement,Pass,False
S1205,Male,10A,8.1,79.6,30.5,26.0,33.3,Bachelors,89.8,29.93,F,Needs Improvement,Fail,False
S1206,Female,10D,11.9,88.7,72.5,68.5,68.2,Bachelors,209.2,69.73,C,Average,Pass,False
S1207,Female,10D,11.3,80.6,60.9,68.1,70.2,High School,199.2,66.4,C,Average,Pass,False
S1208,Female,10D,14.2,88.8,58.4,57.2,46.9,High School,162.5,54.17,D,Needs Improvement,Pass,False
S1209,Male,10D,8.0,79.0,43.1,30.0,51.2,Bachelors,124.3,41.43,D,Needs Improvement,Pass,False
S1210,Male,10C,8.9,80.9,63.6,55.9,65.8,Bachelors,185.3,61.77,C,Average,Pass,False
S1211,Male,10B,6.1,56.0,47.7,55.4,57.6,Bachelors,160.7,53.57,D,Needs Improvement,Pass,False
S1212,Male,10A,8.2,91.0,57.6,64.3,56.3,High School,178.2,59.4,D,Needs Improvement,Pass,False
S1213,Male,10D,11.5,84.2,61.5,53.7,60.1,High School,175.3,58.43,D,Needs Improvement,Pass,False
S1214,Male,10D,13.0,92.0,70.1,56.6,63.6,Bachelors,190.29999999999998,63.43,C,Average,Pass,False
S1215,Male,10D,6.3,45.2,39.4,48.5,50.0,High School,137.9,45.97,D,Needs Improvement,Pass,True
S1216,Female,10C,13.5,100.0,63.4,64.8,78.5,Masters,206.7,68.9,C,Average,Pass,False
S1217,Male,10D,15.4,78.3,70.2,56.3,69.9,High School,196.4,65.47,C,Average,Pass,False
S1218,Female,10D,11.7,93.3,55.6,59.0,58.3,Bachelors,172.89999999999998,57.63,D,Needs Improvement,Pass,False
S1219,Male,10D,17.5,67.5,73.0,62.0,65.3,PhD,200.3,66.77,C,Average,Pass,False
S1220,Male,10B,6.9,87.4,47.8,49.6,45.4,High School,142.8,47.6,D,Needs Improvement,Pass,False
S1221,Male,10C,5.0,67.4,56.3,39.2,55.9,Bachelors,151.4,50.47,D,Needs Improvement,Pass,False
S1222,Female,10D,2.9,72.5,36.9,44.2,41.5,High School,122.6,40.87,D,Needs Improvement,Pass,False
S1223,Female,10A,16.0,100.0,81.6,85.6,66.8,Bachelors,234.0,78.0,B,Average,Pass,False
S1224,Female,10A,12.6,77.7,57.0,64.2,53.3,Bachelors,174.5,58.17,D,Needs Improvement,Pass,False
S1225,Female,10A,9.8,82.6,44.1,38.2,43.3,Bachelors,125.60000000000001,41.87,D,Needs Improvement,Pass,False
S1226,Male,10C,11.1,90.4,71.2,69.8,69.2,Bachelors,210.2,70.07,C,Average,Pass,False
S1227,Female,10C,5.5,85.9,41.5,47.4,40.2,Masters,129.10000000000002,43.03,D,Needs Improvement,Pass,False
S1228,Male,10A,19.8,81.8,85.2,84.4,83.1,High School,252.70000000000002,84.23,B,Average,Pass,False
S1229,Male,10D,10.5,84.4,82.5,89.6,87.1,High School,259.2,86.4,B,Excellent,Pass,False
S1230,Female,10C,10.4,100.0,67.0,64.0,67.2,Masters,198.2,66.07,C,Average,Pass,False
S1231,Female,10A,12.9,100.0,52.0,58.4,53.4,Bachelors,163.8,54.6,D,Needs Improvement,Pass,False
S1232,Female,10A,11.9,82.4,43.9,62.0,65.6,Masters,171.5,57.17,D,Needs Improvement,Pass,False
S1233,Female,10D,10.9,92.6,72.3,82.2,83.4,Bachelors,237.9,79.3,B,Average,Pass,False
S1234,Female,10B,6.8,93.3,69.7,59.5,52.3,Masters,181.5,60.5,C,Average,Pass,False
S1235,Female,10C,11.9,94.2,60.6,60.7,52.3,Bachelors,173.60000000000002,57.87,D,Needs Improvement,Pass,False
S1236,Female,10D,17.5,87.7,86.1,86.7,89.1,Masters,261.9,87.3,B,Excellent,Pass,False
S1237,Female,10A,15.4,66.3,58.1,68.1,57.5,Masters,183.7,61.23,C,Average,Pass,False
S1238,Male,10A,16.4,99.6,96.0,98.3,95.0,Bachelors,289.3,96.43,A,Excellent,Pass,False
S1239,Female,10D,8.0,66.2,58.4,50.0,59.6,High School,168.0,56.0,D,Needs Improvement,Pass,False
S1240,Female,10C,6.0,83.6,37.8,53.3,33.4,High School,124.5,41.5,D,Needs Improvement,Pass,False
S1241,Male,10B,9.5,70.9,69.0,66.5,70.3,High School,205.8,68.6,C,Average,Pass,False
